stop_id,stop_code,stop_name,stop_lat,stop_lon
2282,2282,SB Aero DR @ S of Aero GT NE,51.117845,-114.03124
2300,2300,NB 52 ST SE @ 94 AV SE,50.969216,-113.958206
2301,2301,SB 52 ST SE @ 94 AV SE,50.968246,-113.958533
2302,2302,NB 52 ST SE @ Copperfield GA,50.910794,-113.949361
2303,2303,SB 52 ST SE @ Copperfield GA,50.910127,-113.949416
2304,2304,WB 26 AV SW @ 37 ST SW,51.030132,-114.141502
2306,2306,SB 2A ST SE @ N.OF 25 AV SE,51.032559,-114.058432
2308,2308,SB Arbour Lake WY @ Arbour Ridge WY NW,51.13724,-114.190388
2309,2309,SB 10 ST NW @ S.of Gladstone RD,51.055976,-114.086136
2407,2407,WB 104 AV NE @ Cityscape DR,51.147286,-113.966919
2412,2412,WB 104 AV NE @ Metis TR,51.147273,-113.970448
2413,2413,WB 104 AV NE @ 36 ST NE,51.147118,-113.980008
2414,2414,EB 104 AV NE @ 36 ST NE,51.146861,-113.979988
2415,2415,EB 104 AV NE @ Metis TR,51.14703,-113.970583
2416,2416,WB 72 AV NE @ 10 ST NE,51.117887,-114.040733
2417,2417,EB 72 AV NE @ 8 ST NE,51.117711,-114.044381
3400,3400,WB Discovery Ridge BV @ Discovery Ridge GD SW,51.015953,-114.219941
3401,3401,EB Aspen Hills DR N. of Aspen Stone BV SW,51.040265,-114.217047
3402,3402,SB Cortina DR @ Tremblant WY SW,51.035913,-114.222888
3487,3487,SB 5 St SW @ 7 Av SW,51.046914,-114.07392
3488,3488,Shawnessy Station,50.910603,-114.070042
3489,3489,Dalhousie LRT Station EB,51.104187,-114.158392
3490,3490,Dalhousie LRT Station EB,51.104141,-114.158194
3491,3491,EB Sage Hill Dr @ nearside of Symons Valley Rd NW,51.1696,-114.133924
3492,3492,WB Sage Hill Dr @ Symons Valley Rd NW,51.169782,-114.134893
3493,3493,WB Sage Hill Ga @ 37 St NW,51.170974,-114.142365
3494,3494,EB Sage Hill Ga @ 37 St NW,51.170659,-114.142492
3495,3495,SB West Campus DR @ Oki DR NW,51.074501,-114.145113
3496,3496,WB Country Village WY @ Harvest Hills BV N,51.156761,-114.069188
3497,3497,WB Country Village WY @ Harvest Hills BV N,51.156824,-114.068671
3498,3498,WB Country Village WY @ Harvest Hills BV N,51.156853,-114.068435
3499,3499,SB Country Village Li NE @ Country Village Wy,51.15854,-114.067908
3500,3500,WB Front ST @ Main Ent. South Health Campus SE,50.880966,-113.951546
3501,3501,EB Seton BV @ Auburn Bay LI SE,50.882798,-113.954296
3502,3502,SB 52 ST SE @ Mahogany GA,50.898842,-113.94451
3503,3503,NB 52 ST SE @ Mahogany GA,50.900412,-113.944773
3505,3505,NB 52 ST SE @ Mahogany RD,50.893483,-113.942661
3506,3506,SB 52 ST SE @ McKenzie Terminal,50.915188,-113.956477
3507,3507,NB 52 ST SE @ McKenzie Terminal,50.915436,-113.957102
3508,3508,SB Ogden RD @ 50 AV SE,51.008223,-114.011446
3509,3509,NB Ogden RD @ 50 AV SE,51.006868,-114.01133
3511,3511,EB Copperpond BV @ McIvor BV SE,50.923031,-113.932345
3512,3512,WB Copperpond BV @ Copperpond CM SE,50.924112,-113.929996
3513,3513,EB Copperpond BV @ Copperpond RD SE,50.923997,-113.929826
3514,3514,WB Copperpond BV @ Copperpond GA SE,50.924909,-113.925575
3515,3515,EB Copperpond BV @ Copperpond GA SE,50.924537,-113.925575
3516,3516,NB Copperpond BV @ Copperpond PA SE,50.921263,-113.920128
3517,3517,SB Copperpond BV @ Copperpond PA SE,50.921234,-113.920146
3518,3518,NB Copperpond BV @ Copperpond ST SE,50.917953,-113.918397
3519,3519,SB Copperpond BV @ Copperpond ST SE,50.917974,-113.918572
3520,3520,NB Copperpond BV @ Copperstone ST SE,50.916084,-113.9177
3521,3521,WB Copperstone DR @ Copperpond BV SE,50.915759,-113.918147
3522,3522,NB Copperpond BV @ Copperpond CV SE,50.92271,-113.920512
3523,3523,SB Copperpond BV @ CopperpondCV SE,50.922638,-113.920575
3524,3524,NB McIvor BV @ Copperfield BV SE,50.919577,-113.931959
3525,3525,WB Quarry Park BV @ Quarry DR SE,50.959516,-114.011188
3526,3526,WB Quarry Park BV @ Quarry LK SE,50.959531,-114.013682
3527,3527,EB Quarry Park BV @ 18 ST SE,50.963186,-114.012661
3528,3528,NB West Campus BV @ Pathway NW,51.069763,-114.145668
3529,3529,SB  West Campus BV @ Pathway NW,51.069715,-114.145931
3530,3530,NB 18 ST SE @ Quarry Park RD,50.962133,-114.010953
3531,3531,SB 18 ST SE @ Quarry Park RD,50.961728,-114.011106
3533,3533,NB Rocky Ridge RD @ Royal Oak DR NW,51.139102,-114.233746
3534,3534,NB Rocky Ridge RD @ S. of Royal Elm RD NW,51.141454,-114.233792
3535,3535,EB 112 AV NW @ Rocky Ridge RD,51.153902,-114.233047
3536,3536,WB Royal Oak DR NW @ Royal Elm DR NW,51.138833,-114.231333
3537,3537,WB Royal Oak DR NW @ Royal TC NW,51.138359,-114.22518
3538,3538,SB Royal Oak DR  @ Royal Ridge RI NW,51.13933,-114.220935
3539,3539,SB Royal Oak DR @ Royal Ridge  HL NW,51.14023,-114.219304
3540,3540,SB Royal Oak DR @ Royal Crest WY NW,51.141506,-114.216585
3541,3541,SB Royal Oak DR @ Royal Birch GA NW,51.1433,-114.215776
3542,3542,SB Royal Oak DR @ 100 Royal Birch ME NW,51.145988,-114.215497
3543,3543,SB Royal Oak DR @ Royal Birch BV NW,51.147602,-114.217465
3544,3544,EB 112 AV NW @ Country Hills BV,51.149903,-114.212224
3548,3548,EB 112 AV NW @ Royal Vista DR,51.154054,-114.200364
3549,3549,WB 112 AV NW @ Royal Vista LI,51.153996,-114.206133
3550,3550,WB 112 AV NW @ 85 ST NW,51.152148,-114.20979
3552,3552,NB 24 ST SE @ Quarry PK BV,50.964,-114.001393
3553,3553,SB 24 ST SE @ Quarry PK BV,50.962709,-114.002102
3554,3554,EB 112 AV NW @ 85 ST NW,51.152344,-114.208557
3555,3555,EB 112 AV NW @ Royal Vista LI,51.153881,-114.204704
3556,3556,EB 112 AV NW @ 76 ST NW,51.153967,-114.196219
3557,3557,EB 112 AV NW @ 110 AV NW,51.154064,-114.190405
3559,3559,WB Hospital DR @ TRW Building,51.065945,-114.137246
3560,3560,EB Hospital DR @ TRW Building,51.065888,-114.137073
3561,3561,WB Old Banff Coach RD @ West Springs GA SW,51.065806,-114.189195
3562,3562,NB Shepard RD @ N. of Shepard PL SE,50.970796,-113.989054
3563,3563,SB Shepard RD @ N. of Shepard PL SE,50.970588,-113.989297
3565,3565,NB 24 ST nearside of 114 AV SE,50.952705,-114.001291
3566,3566,EB Chaparral Valley SQ @ Chaparral Vallley LI SE,50.886722,-114.015112
3567,3567,SB Chaparral Valley DR @ Chaparral Valley VW SE,50.885649,-114.01561
3568,3568,SB Chaparral Valley DR @ Chaparral Valley TC SE,50.883571,-114.015536
3569,3569,SB Chaparral Valley DR @ Chaparral Valley GD SE,50.879795,-114.013597
3571,3571,WB Walden DR @ Walden SQ SE,50.874699,-114.031557
3572,3572,SB Walden GA @ 194 AV SE,50.876113,-114.036362
3573,3573,EB Walden DR@ Walden SQ SE,50.874348,-114.031889
3575,3575,NB Chaparral Valley DR @ Chaparral Valley GD SE,50.88026,-114.013206
3576,3576,NB Chaparral Valley DR @ Chaparral Valley GV SE,50.884155,-114.01519
3577,3577,SB 6 ST @ Shawville GA SE,50.897261,-114.072163
3578,3578,SB Cranston GA @ Cranford DR SE,50.869962,-113.971342
3579,3579,WB Cranford DR @ Cranford PA SE,50.870909,-113.967836
3580,3580,SB Cranford DR @ Cranford CL SE,50.87281,-113.967166
3581,3581,SB Cranford DR @ Cranford CR SE,50.875801,-113.968638
3582,3582,EB Cranford DR @ Cranford ST SE,50.877076,-113.970184
3583,3583,EB Cranford DR @ Cranarch RD SE,50.87689,-113.975614
3584,3584,SB Cranarch RD @ Cranston AV SE,50.878578,-113.976461
3585,3585,SB 52 St @ Auburn Bay AV SE,50.8902,-113.94322
3586,3586,SB 52 St @ Auburn Meadows DR SE,50.893094,-113.943181
3587,3587,SB 52 St @ Auburn Meadows AV SE,50.897116,-113.943716
3588,3588,SB 52 St @ Auburn Bay DR SE,50.89897,-113.944429
3589,3589,WB Mahogany BV @ Mahogany HT SE,50.902545,-113.933563
3590,3590,WB Mahogany BV @ Mahogany WY SE,50.90257,-113.928824
3591,3591,WB Mahogany BV @ Marquis GD SE,50.902463,-113.922387
3592,3592,WB Mahogany BV @ Marquis GR SE,50.903395,-113.91441
3593,3593,NB Mahogany BV @ 300 Marquis CO SE,50.901265,-113.910407
3594,3594,EB Cranford DR @ Cranston GA SE,50.870324,-113.970755
3595,3595,EB Cranford DR @ Cranford PA SE,50.871504,-113.966664
3596,3596,NB Cranford DR @ Cranford CL SE,50.873463,-113.966912
3597,3597,NB Cranford DR @ Cranford CR SE,50.876032,-113.968133
3598,3598,WB Cranford DR @ Cranford ST SE,50.877498,-113.970467
3599,3599,NB 52 St @ Mahogany DR SE,50.890393,-113.942667
3600,3600,NB 52 St @ Mahogany Dr SE,50.89326,-113.942666
3601,3601,NB 52 St @ Mahogany ST SE,50.897512,-113.943461
3603,3603,EB Mahogany GA @ Mahogany PZ SE,50.899422,-113.94129
3604,3604,NB Mahogany BV @ Mahogany GA SE,50.899723,-113.936959
3605,3605,EB Mahogany BV @ Mahogany HT SE,50.90243,-113.932733
3606,3606,EB Mahogany BV @ Marine DR SE,50.902438,-113.928437
3607,3607,EB Mahogany BV @ Marquis GD SE,50.902241,-113.922083
3608,3608,EB Mahogany BV @ Marquis GR SE,50.902756,-113.913559
3609,3609,NB Cranarch RD @ Cranford DR SE,50.8787,-113.97597
3610,3610,SB 52 St @ Mckenzie Towne Li SE,50.91503,-113.956345
3611,3611,WB 114 AV SE (WBay) @ 29 ST SE,50.951569,-113.996145
3612,3612,NB 18 St @  Douglas Glen BV SE,50.957447,-114.007579
3613,3613,NB 11 ST SE @ 21 AV SE,51.034821,-114.03663
3614,3614,WB Aspen Dr @ Spruce WY NW,51.090585,-114.220202
3615,3615,EB 9 AVE @ 3 ST SW,51.044651,-114.069407
3616,3616,NB 1 ST @ 7 AV SW,51.046327,-114.065368
3617,3617,NB 52 ST SE @ New Brighton DR SE,50.926235,-113.957798
3618,3618,EB Mckenzie Towne Li @ Promenade Way SE,50.912464,-113.958531
